time_sec,laser_x,laser_y,laser_yaw,truth_x,truth_y,truth_yaw,laser_position_error_m,laser_yaw_error_deg
210.18,1.434699867388354,3.9668953750000346,-1.5883934813626677,1.3859222502883823,4.197037175355586,-1.5583744349941269,0.23525412685189157,1.7199646619249085
210.28,1.4329887812318431,3.911720817332779,-1.5870643044261967,1.3867758798998198,4.142040498287607,-1.5569339009388494,0.23491016939387108,1.7263449548512577
210.38000000000002,1.4328475421971172,3.8569030274307776,-1.5861466719909358,1.387653049555065,4.087044794680141,-1.555969055943504,0.23453736418283683,1.7290500352841105
210.48000000000002,1.4338246206111323,3.8019035451859113,-1.5855243297493693,1.3885265774466127,4.0320513236678766,-1.555478587159055,0.23456323807177973,1.721494242761471
210.58,1.4324984761413269,3.7466856576862524,-1.5852836863345068,1.389394871208125,3.9770577354209657,-1.5552639089169613,0.23436982518670435,1.720006547947493
210.68,1.432404777138686,3.6926871152090883,-1.5853814506927335,1.3902513724254284,3.9220643903359336,-1.5552479702030009,0.23321844668365355,1.726521254101489
210.78,1.4318221428262043,3.6368916250332517,-1.5853916852888126,1.3910845991510838,3.8670703751965285,-1.555442201856704,0.23375586514868577,1.7159789992568044
210.88000000000002,1.4308602517639528,3.58280755215597,-1.5857470996090572,1.3918945288415479,3.8120757821299516,-1.5557417954196597,0.23255590475898064,1.7191772930586848
210.98000000000002,1.4291890788277073,3.528218034743298,-1.5859231724347722,1.3926793791116963,3.7570803026491246,-1.5561160265231744,0.23175611285217854,1.7078236600651826
211.08,1.4281512303574235,3.471339424127654,-1.5862384479048532,1.3934401052641747,3.7020843744073946,-1.556519567405453,0.23334115428882063,1.7027664244692753
211.18,1.4269215918807963,3.418907132664036,-1.5866098495406582,1.394176434978323,3.6470880135858046,-1.5569414742186005,0.2305184585207915,1.6998726909639899
211.28,1.4265368224419703,3.364021512950674,-1.5869023524922177,1.3948900848258907,3.5920915209456523,-1.5573582284601675,0.23025517268580617,1.692753616447505
211.38000000000002,1.4242001466752556,3.3086748804653117,-1.5872169051142275,1.3955824558423466,3.5370951563093995,-1.5577602123493108,0.2302059830788443,1.6877441738432741
211.48000000000002,1.4240718237010555,3.2543459425553194,-1.5876219351596095,1.396255340572241,3.482098668057457,-1.5581392263603213,0.22944511480375362,1.6892347828124266
211.58,1.424360587717179,3.2026383563257594,-1.5884210705657853,1.3969106558174935,3.4271015630234545,-1.5584897953496788,0.22613542385550642,1.7149357453274234
211.68,1.4219210501113895,3.1486250005650356,-1.5888949699233368,1.3975508205390377,3.3721047729613214,-1.5588046192811036,0.22480461908000207,1.7240500958687284
211.78,1.4216172567776084,3.0943858557430084,-1.5891192909512852,1.3981772624725464,3.317106251287336,-1.5590885527768468,0.22395045863860863,1.7206345530577307
211.88000000000002,1.4197543013828795,3.0387928682145544,-1.5892258231488252,1.3987917986715996,3.262108134087934,-1.5593406484820762,0.22429697833902862,1.7122943784160043
211.98000000000002,1.4185365146962325,2.984310689271089,-1.5894790060813981,1.3993962823416777,3.207110649568173,-1.5595595963832436,0.22362059565918493,1.7142559012270395
212.08,1.4181355361146368,2.929583546940987,-1.5894477467522072,1.3999920220452884,3.1521131577381998,-1.5597501673413192,0.22326803350310484,1.7015459619984932
212.18,1.416616173052884,2.8760808186217885,-1.5897519827539426,1.4005803006604087,3.0971158905878573,-1.5599147936509505,0.22161600177431443,1.709545008135175
212.28,1.4157913924012762,2.8217581677670274,-1.589881796956562,1.401162419194788,3.0421185055606346,-1.5600547674767993,0.2208453878386162,1.708962904602689
