center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
8.066076,3.751190,8.126473,3.436465,8.010418,4.075927
8.015992,3.750218,8.027758,3.431883,8.003656,4.077520
7.915814,3.749139,7.927738,3.426346,7.903398,4.079628
7.815601,3.748879,7.827730,3.420483,7.803079,4.083374
7.715374,3.748955,7.727727,3.414484,7.702737,4.087791
7.615163,3.748630,7.627718,3.408645,7.602426,4.091408
7.564837,3.748177,7.527976,3.403698,7.600798,4.094826
7.515601,3.747502,7.430911,3.399906,7.600055,4.097727
7.462637,3.745496,7.334480,3.414216,7.599045,4.097975
7.411221,3.760196,7.242049,3.453983,7.598072,4.098429
7.373492,3.800988,7.163214,3.520680,7.597190,4.099086
7.307399,3.873004,7.095301,3.594258,7.521028,4.152386
7.273455,3.910135,7.027537,3.667727,7.520532,4.153358
7.205988,3.984131,6.959525,3.741244,7.453439,4.227710
7.138888,4.058462,6.891371,3.814621,7.387055,4.302760
7.072210,4.133185,6.823054,3.887838,7.321492,4.378618
7.005670,4.208032,6.757091,3.963374,7.253785,4.452366
6.939249,4.282991,6.691992,4.039758,7.185403,4.525448
6.873193,4.358284,6.627598,4.116834,7.116879,4.598391
6.807284,4.433716,6.563492,4.194196,7.048297,4.671278
6.741281,4.509059,6.499203,4.271374,6.979752,4.744201
6.674867,4.584024,6.434117,4.347768,6.911367,4.817281
6.641479,4.621322,6.432262,4.351311,6.843908,4.890199
6.577621,4.692255,6.358185,4.398696,6.775877,4.963413
6.540603,4.732378,6.355361,4.401436,6.707412,5.034643
6.500650,4.774779,6.351962,4.403339,6.626284,5.091692
6.445346,4.794376,6.348105,4.404425,6.530286,5.125718
6.383637,4.774064,6.343960,4.404099,6.425666,5.128685
6.334094,4.756914,6.340409,4.402558,6.333437,5.106400
6.287824,4.740227,6.337190,4.400332,6.243885,5.076183
6.240901,4.722742,6.334473,4.396799,6.149647,5.044669
6.194185,4.704647,6.333152,4.391867,6.055130,5.013434
6.101083,4.667405,6.242647,4.349963,5.959483,4.983147
6.008207,4.629506,6.150686,4.311312,5.865746,4.948590
5.915356,4.591523,6.054865,4.281296,5.775925,4.905273
5.822506,4.553544,5.959045,4.251277,5.686099,4.861961
5.729385,4.516360,5.863362,4.220951,5.595586,4.820184
5.682611,4.498360,5.769358,4.189858,5.591461,4.814462
5.635699,4.480766,5.675624,4.158489,5.585985,4.810132
5.588753,4.463665,5.582256,4.126852,5.579885,4.807541
5.539351,4.446348,5.486530,4.101814,5.573686,4.806909
5.500607,4.433412,5.421899,4.095460,5.569641,4.807159
5.457704,4.420144,5.358054,4.101023,5.565675,4.807891
5.414011,4.415252,5.299730,4.119435,5.561966,4.809017
5.384814,4.448157,5.244789,4.148530,5.558322,4.810523
5.358305,4.479332,5.196093,4.185413,5.554881,4.812301
5.334848,4.508643,5.153696,4.228589,5.551714,4.814476
5.315459,4.533469,5.116942,4.275507,5.548802,4.816937
5.296145,4.558355,5.080138,4.322337,5.546131,4.819840
5.240865,4.630903,5.017938,4.400436,5.474152,4.863619
5.210880,4.671033,4.956433,4.477828,5.471831,4.870094
5.151565,4.751777,4.893396,4.555701,5.415237,4.952812
5.092861,4.833003,4.830109,4.633384,5.359881,5.036470
5.034461,4.914470,4.766699,4.710975,5.305144,5.120599
4.975871,4.995785,4.703368,4.788624,5.250019,5.204430
4.916915,5.076812,4.640183,4.866387,5.194156,5.287698
4.857363,5.157370,4.579800,4.946280,5.134526,5.368101
4.796824,5.237151,4.520697,5.027145,5.072015,5.446313
4.735777,5.316533,4.460566,5.107229,5.009709,5.524680
4.674521,5.395749,4.400013,5.186991,4.947489,5.603112
4.613047,5.474794,4.339016,5.266416,4.885356,5.681612
4.582299,5.514291,4.338323,5.268054,4.823557,5.759932
4.559011,5.544146,4.337635,5.269198,4.777503,5.818356
4.534217,5.575570,4.336781,5.270242,4.724568,5.871353
4.507546,5.609087,4.335807,5.271237,4.662674,5.914020
4.467865,5.617419,4.334670,5.271999,4.594405,5.942299
4.415147,5.620722,4.332940,5.272654,4.495622,5.957096
4.364094,5.623722,4.331062,5.272858,4.396334,5.962949
4.265875,5.629132,4.235477,5.286677,4.296428,5.969016
4.165884,5.634493,4.135395,5.291493,4.196513,5.975144
4.065894,5.639883,4.035319,5.296368,4.096598,5.981262
3.965868,5.644997,3.935194,5.300690,3.996693,5.987490
3.915654,5.647635,3.933950,5.300066,3.897007,5.993524
3.817182,5.652660,3.838577,5.285569,3.797090,5.998824
3.777666,5.652368,3.838002,5.284705,3.722291,5.990135
