center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
8.070100,3.656772,8.119723,3.473658,8.044170,3.889959
8.019818,3.660440,8.026418,3.467803,8.010360,3.897924
7.919096,3.672095,7.926590,3.457170,7.909140,3.925508
7.818201,3.687847,7.826822,3.444901,7.807619,3.961284
7.717235,3.705275,7.727079,3.431960,7.705979,4.000411
7.616352,3.720702,7.627304,3.419820,7.604496,4.035540
7.564861,3.726962,7.528866,3.412136,7.596352,4.052632
7.513565,3.731896,7.432395,3.406024,7.592639,4.067135
7.456823,3.730730,7.336771,3.420136,7.587591,4.068372
7.403568,3.746294,7.245119,3.459539,7.582724,4.070647
7.363960,3.788482,7.166988,3.525712,7.578316,4.073930
7.297175,3.862345,7.098883,3.598954,7.503114,4.128902
7.263187,3.900675,7.031515,3.671647,7.500638,4.133762
7.197240,3.976072,6.962915,3.744582,7.436493,4.211018
7.133125,4.053154,6.893603,3.816819,7.375891,4.291766
7.071128,4.132186,6.823474,3.888252,7.319394,4.376553
7.009814,4.211850,6.765121,3.971278,7.252179,4.450786
6.949099,4.292065,6.711080,4.058548,7.181584,4.521691
6.890202,4.373954,6.660564,4.149280,7.110285,4.591902
6.832050,4.456532,6.611496,4.241436,7.038697,4.661830
6.773423,4.538671,6.561507,4.332678,6.967292,4.731941
6.712741,4.618916,6.507535,4.419996,6.896683,4.802836
6.681461,4.658157,6.498262,4.437711,6.830708,4.872919
6.618309,4.734795,6.428195,4.493351,6.761875,4.944483
6.573689,4.782932,6.414079,4.507048,6.695668,5.013521
6.525478,4.830435,6.397084,4.516563,6.617260,5.069048
6.455440,4.854160,6.377799,4.521991,6.524348,5.102204
6.382069,4.832544,6.357069,4.520363,6.423044,5.105433
6.322345,4.810698,6.339320,4.512655,6.333655,5.084380
6.271384,4.788587,6.323219,4.501525,6.246679,5.055946
6.226331,4.765602,6.309634,4.483863,6.154615,5.027257
6.182315,4.739567,6.303032,4.459203,6.061154,4.999966
6.096030,4.682273,6.229825,4.378633,5.962047,4.977412
6.010865,4.621688,6.149338,4.314326,5.872486,4.933516
5.925838,4.560691,6.049549,4.293188,5.802505,4.845816
5.840806,4.499708,5.949765,4.272041,5.732503,4.758137
5.754423,4.442706,5.850666,4.249362,5.659065,4.678134
5.710209,4.417176,5.759962,4.222844,5.638437,4.649528
5.665304,4.393676,5.670610,4.194939,5.611055,4.627878
5.619751,4.372478,5.582121,4.165376,5.580555,4.614921
5.568683,4.352510,5.491354,4.140843,5.549565,4.611764
