time_sec,raw_x,raw_y,raw_yaw,output_x,output_y,output_yaw,raw_waypoint_error_m,corrected_waypoint_error_m,lateral_only_x,lateral_only_y,lateral_only_yaw,lateral_only_waypoint_error_m,p_x,p_y,p_yaw,lag_position_m,lag_yaw_rad
1.4199999999999875,0.0018840350522085646,0.0481731780016641,-0.053405419978563184,0.0028782399362526035,0.0680973941411253,-0.002589183589596928,0.046236435001429994,0.06615193807791885,0.002898326526117324,0.06796694659487501,-0.05342004809231517,0.06602133200465621,0.0016446612148023174,0.0024319752565292647,0.0026733049136532724,0.0,0.0
1.460000000000008,0.002664497645833425,0.048075682613925114,-0.05340525831280951,0.0036626472730603324,0.06803966771182098,-0.002589021923843255,0.04613261676155896,0.06608785551586818,0.00367878769348506,0.06786943979045086,-0.053419886426561494,0.06591750236003573,0.0017480266850519424,0.002636141570317267,0.0027373049152533053,0.0,0.0
1.5,0.001128869599680192,0.047514763987049194,-0.05425942479052016,0.002157493026284224,0.0674014718989856,-0.0034431884015539,0.04558416362429635,0.06546188072524312,0.0021431514423146457,0.06730854362697669,-0.05427405290427215,0.06536907175194288,0.0018488396898365853,0.002833284660634707,0.0028013049168532926,0.0,0.0
1.5199999999999818,0.001128028439272127,0.04747330929554989,-0.05425960655622353,0.002158758616592517,0.06736002799377257,-0.003443370167257271,0.04554271711263691,0.06542042792320615,0.002142309675502728,0.06726708894778641,-0.05427423466997552,0.065327625257507,0.0018992503831492546,0.002908146112799555,0.0028333049172532634,0.0,0.0
1.5600000000000023,0.0011262669633187027,0.047389735824829395,-0.05425959478638909,0.0021612444761672576,0.0672764729322384,-0.0034433583974228313,0.04545916066500483,0.06533685545729416,0.002140546977027256,0.06718351550284193,-0.05427422290014108,0.06524406884555954,0.0020026167350114545,0.0031122609936814786,0.0028973049188532963,0.0,4.336808689942018e-19
1.5999999999999943,-0.00030986333850993803,0.04644066310476619,-0.05435797794722186,0.00077517557752388,0.06625567800669648,-0.003541741558255602,0.04452175970459866,0.06432732887381572,0.0007044027922085607,0.06623446379075769,-0.05437260606097385,0.06430668900497084,0.002103436333474169,0.003309416570017862,0.0029613049204532836,0.0,0.0
1.6200000000000045,-0.0005564621671008534,0.04639031427262534,-0.05435803082941648,0.0005314525124033308,0.0661928683363534,-0.0035417944404502254,0.044473411338078715,0.06426649676887818,0.00045780322713558536,0.06618411856589794,-0.05437265894316847,0.06425834425158328,0.002153847559740757,0.0033842778667248032,0.0029933049208533,0.0,0.0
1.6599999999999966,-0.0010585952830676926,0.04628896807142462,-0.054358177168625677,3.5115399890656394e-05,0.066066147424934,-0.0035419407796594194,0.04437613851596086,0.06414380309048777,-4.4331371281289695e-05,0.0660827797099684,-0.054372805282377666,0.06416107878651144,0.002257215064654616,0.0035883933604897635,0.003057304922453287,0.0,4.336808689942018e-19
1.6999999999999886,-0.0008036492315612094,0.04810789273479634,-0.05571464224767242,0.00019734121968327777,0.06789567392203462,-0.004898405858706162,0.046192936956949725,0.06597195456259175,0.00021064128763479783,0.06790170064376566,-0.05572927036142441,0.06597787328238144,0.002358015614978063,0.0037855665155195977,0.0031213049240532745,0.0,0.0
1.7199999999999989,-0.0009295696154883999,0.048093263517695474,-0.055714572870095846,7.232646408887493e-05,0.06787466754288382,-0.00489833648112959,0.04617932887056736,0.06595196218306273,8.472068972322774e-05,0.06788707326864406,-0.055729200983847836,0.06596426703965241,0.0024084264401371385,0.003860431039934802,0.003153304924453291,0.0,0.0
