time_sec,raw_x,raw_y,raw_yaw,output_x,output_y,output_yaw,raw_waypoint_error_m,corrected_waypoint_error_m,p_x,p_y,p_yaw,lag_position_m,lag_yaw_rad
428.26,-1.7959905977443966,2.618578514918794,0.3634408881307625,-1.821932579348,2.5494771197715904,0.2697436506489858,0.03490397904105736,0.10850800998185246,0.004331743198858679,0.012775348298300194,0.0008819120496080349,0.12106615438488907,0.0
428.29999999999995,-1.7897230172293928,2.620964110027925,0.39023337157407845,-1.813555134418141,2.5487014847839244,0.2997361340922989,0.031174557807338105,0.1069305658295244,0.007262203597231204,0.012834664444725094,0.0030136251933236564,0.13875859051671824,0.04881263940117986
428.32000000000005,-1.784454564327704,2.623488444475633,0.40295171036343636,-1.8071223472292237,2.549457682310753,0.31405447288166444,0.027658899444237467,0.10471052418701568,0.007144442930778429,0.012594597321631828,0.002891984747639311,0.13688309466854587,0.04721263940117221
428.36,-1.7741589006274177,2.6286797654257246,0.4211576484965684,-1.794488501121792,2.5511529174878755,0.3354604110147936,0.020535415681380002,0.10055082522901565,0.006935796656731061,0.012241014042007807,0.0026640638570720014,0.1331544296725233,0.04401263940117506
428.4,-1.760794740245925,2.6321602680879113,0.43190114551279146,-1.7789524088019197,2.5509190831195565,0.3494039080310138,0.014482646320539683,0.09770995153273748,0.006746460596412727,0.011863436374387143,0.00245662296650466,0.129407864176357,0.040812639401177964
428.41999999999996,-1.7554136439165127,2.6349108755316735,0.43529335694685534,-1.7724008511555027,2.5519384928583313,0.35439611946507615,0.010722917392217745,0.0954159865173379,0.006641057575923806,0.01165141058146531,0.0023605825208209757,0.12756798508895698,0.03921263940117942
428.46000000000004,-1.7448085993632088,2.640417830765951,0.44170943469664836,-1.7594591486329094,2.5540152137771943,0.3640121972148753,0.0032288865211805825,0.09082279931841081,0.006457863892648333,0.011343844617639523,0.002183861630253109,0.12391155405406182,0.036012639401173274
428.5,-1.729303854829716,2.642419303282108,0.4530273534975681,-1.7419131450812169,2.5522567454447973,0.3785301160157922,0.0009411082771079369,0.0900694433431289,0.0063008534331057305,0.011009994859019476,0.002027620739685732,0.12024019885222194,0.03281263940117618
428.52,-1.7235212077231725,2.645328830547584,0.45606485247550843,-1.734848512959657,2.553548650471096,0.38316761499373103,0.004486919609337168,0.0879856308621852,0.007593361724304503,0.009091499707323049,0.004856739670640332,0.12415609461040022,0.0639256574359337
428.55999999999995,-1.7120879944431409,2.6511573647993885,0.4620203850410948,-1.7208534073887685,2.55617508947694,0.39232314755931447,0.011572999967212472,0.08379084766964941,0.007321761692128421,0.008806381266342523,0.004521855464650658,0.12017564562259686,0.060725657435936664
428.6,-1.6987493467957036,2.6534851650191507,0.4693770878013423,-1.7052080145932977,2.5552229910714104,0.40287985031956813,0.015396708364880263,0.08296464000015706,0.0070937931822262785,0.008514716905647885,0.0042074512586600735,0.11630311387148196,0.057525657435930466
428.62,-1.6929962131068623,2.656371079186105,0.46780285291233964,-1.6981861415807684,2.5565486721456914,0.402905615430564,0.018915715539407883,0.08091885042795349,0.006958692469294489,0.00835000188989446,0.0040579291552652295,0.11435187475274058,0.05592565743593192
428.65999999999997,-1.6815738741781048,2.66206893588716,0.46337179917832394,-1.6842342793010376,2.559154991672585,0.4016745616965454,0.025107788893525523,0.07784027214726365,0.006720707960753013,0.008123982204512473,0.0037742449492755145,0.1104753320311641,0.05272565743593483
428.70000000000005,-1.670258544030389,2.667658058548537,0.4587918214257773,-1.6704072550251174,2.561701276575018,0.40029458394400497,0.031012741635933358,0.07490635922160765,0.006499378982468166,0.007929285098484217,0.0035110407432850403,0.10664561370947967,0.04952565743592863
428.72,-1.664641043809464,2.6704117819506905,0.4564921066186813,-1.663493863541417,2.5630037880509877,0.39959486913690745,0.03392326730545435,0.07341004872821441,0.0067443839724604295,0.00668089091344666,0.0017882055717629364,0.10851459451584078,0.02964091326013807
428.76,-1.6603620156373,2.6644889824490416,0.4564482354134322,-1.6572652004895605,2.554615544601238,0.4027509979316555,0.028123077728022663,0.08161991013655405,0.006554523083472094,0.006584954817550408,0.001672743728498148,0.10536069033735009,0.02644091326014097
428.79999999999995,-1.6354754653934118,2.6694701044371025,0.4560977436786269,-1.6298452705670194,2.556030902612886,0.4056005061968472,0.033409899647049386,0.08009937734047373,0.006328836191223529,0.006421167318771826,0.0015777618852333257,0.10162399699526749,0.02324091326014394
428.82000000000005,-1.6295957289894227,2.671913727602698,0.4541043861196252,-1.6226980308755132,2.5570639097237016,0.4052071486378532,0.035767469834034844,0.07917076752207095,0.006212632727260428,0.006335116214779517,0.0015379509632006865,0.09989063241949511,0.021640913260136285
428.86,-1.6179101640326863,2.676721777459216,0.45018315529289143,-1.6084854604946914,2.5590763728948147,0.4044859178111165,0.040404500574030736,0.07736589807827618,0.006007977113099026,0.006257265086811361,0.0014736891199358631,0.09644462248484596,0.01844091326013919
428.9,-1.6063238364673946,2.6814253201514364,0.4462677806555027,-1.5943880610027599,2.561029482748332,0.40377054317372485,0.04493848327517954,0.07561869514363141,0.005818531383344388,0.0062028907914281695,0.0014299072766710027,0.0930375965795677,0.015240913260142097
